Date,Afonia
2015-07-01,27
2015-07-02,28
2015-07-03,32
2015-07-04,28
2015-07-05,19
2015-07-06,31
2015-07-07,41
2015-07-08,27
2015-07-09,39
2015-07-10,29
2015-07-11,30
2015-07-12,31
2015-07-13,34
2015-07-14,38
2015-07-15,22
2015-07-16,30
2015-07-17,25
2015-07-18,20
2015-07-19,23
2015-07-20,25
2015-07-21,24
2015-07-22,18
2015-07-23,19
2015-07-24,15
2015-07-25,14
2015-07-26,14
2015-07-27,29
2015-07-28,27
2015-07-29,20
2015-07-30,20
2015-07-31,14
2015-08-01,22
2015-08-02,16
2015-08-03,15
2015-08-04,21
2015-08-05,11
2015-08-06,19
2015-08-07,20
2015-08-08,11
2015-08-09,14
2015-08-10,16
2015-08-11,12
2015-08-12,18
2015-08-13,22
2015-08-14,9
2015-08-15,21
2015-08-16,19
2015-08-17,18
2015-08-18,16
2015-08-19,23
2015-08-20,19
2015-08-21,18
2015-08-22,11
2015-08-23,16
2015-08-24,31
2015-08-25,25
2015-08-26,21
2015-08-27,22
2015-08-28,35
2015-08-29,13
2015-08-30,18
2015-08-31,32
2015-09-01,19
2015-09-02,21
2015-09-03,21
2015-09-04,24
2015-09-05,30
2015-09-06,26
2015-09-07,30
2015-09-08,15
2015-09-09,32
2015-09-10,35
2015-09-11,26
2015-09-12,21
2015-09-13,27
2015-09-14,34
2015-09-15,36
2015-09-16,36
2015-09-17,23
2015-09-18,29
2015-09-19,20
2015-09-20,42
2015-09-21,44
2015-09-22,32
2015-09-23,53
2015-09-24,97
2015-09-25,39
2015-09-26,50
2015-09-27,27
2015-09-28,40
2015-09-29,41
2015-09-30,32
2015-10-01,59
2015-10-02,66
2015-10-03,30
2015-10-04,50
2015-10-05,33
2015-10-06,73
2015-10-07,62
2015-10-08,54
2015-10-09,37
2015-10-10,34
2015-10-11,40
2015-10-12,56
2015-10-13,45
2015-10-14,45
2015-10-15,33
2015-10-16,28
2015-10-17,24
2015-10-18,25
2015-10-19,46
2015-10-20,40
2015-10-21,36
2015-10-22,27
2015-10-23,35
2015-10-24,36
2015-10-25,48
2015-10-26,45
2015-10-27,44
2015-10-28,42
2015-10-29,39
2015-10-30,41
2015-10-31,25
2015-11-01,52
2015-11-02,52
2015-11-03,53
2015-11-04,26
2015-11-05,33
2015-11-06,42
2015-11-07,43
2015-11-08,44
2015-11-09,53
2015-11-10,38
2015-11-11,48
2015-11-12,39
2015-11-13,60
2015-11-14,40
2015-11-15,31
2015-11-16,39
2015-11-17,46
2015-11-18,53
2015-11-19,41
2015-11-20,37
2015-11-21,32
2015-11-22,46
2015-11-23,47
2015-11-24,39
2015-11-25,44
2015-11-26,30
2015-11-27,47
2015-11-28,24
2015-11-29,35
2015-11-30,34
2015-12-01,27
2015-12-02,53
2015-12-03,28
2015-12-04,35
2015-12-05,17
2015-12-06,19
2015-12-07,74
2015-12-08,33
2015-12-09,32
2015-12-10,30
2015-12-11,38
2015-12-12,48
2015-12-13,53
2015-12-14,37
2015-12-15,39
2015-12-16,33
2015-12-17,47
2015-12-18,32
2015-12-19,33
2015-12-20,28
2015-12-21,31
2015-12-22,31
2015-12-23,27
2015-12-24,14
2015-12-25,27
2015-12-26,39
2015-12-27,32
2015-12-28,24
2015-12-29,22
2015-12-30,39
2015-12-31,23
2016-01-01,49
2016-01-02,37
2016-01-03,22
2016-01-04,35
2016-01-05,29
2016-01-06,41
2016-01-07,40
2016-01-08,51
2016-01-09,23
2016-01-10,38
2016-01-11,33
2016-01-12,43
2016-01-13,29
2016-01-14,31
2016-01-15,33
2016-01-16,18
2016-01-17,32
2016-01-18,35
2016-01-19,43
2016-01-20,43
2016-01-21,38
2016-01-22,27
2016-01-23,37
2016-01-24,30
2016-01-25,37
2016-01-26,25
2016-01-27,32
2016-01-28,40
2016-01-29,37
2016-01-30,30
2016-01-31,26
2016-02-01,36
2016-02-02,32
2016-02-03,32
2016-02-04,36
2016-02-05,33
2016-02-06,27
2016-02-07,33
2016-02-08,51
2016-02-09,47
2016-02-10,68
2016-02-11,44
2016-02-12,47
2016-02-13,38
2016-02-14,34
2016-02-15,61
2016-02-16,48
2016-02-17,30
2016-02-18,37
2016-02-19,41
2016-02-20,26
2016-02-21,44
2016-02-22,29
2016-02-23,48
2016-02-24,62
2016-02-25,55
2016-02-26,18
2016-02-27,33
2016-02-28,19
2016-02-29,39
2016-03-01,38
2016-03-02,35
2016-03-03,42
2016-03-04,35
2016-03-05,43
2016-03-06,27
2016-03-07,34
2016-03-08,23
2016-03-09,34
2016-03-10,36
2016-03-11,24
2016-03-12,25
2016-03-13,44
2016-03-14,33
2016-03-15,31
2016-03-16,35
2016-03-17,33
2016-03-18,33
2016-03-19,30
2016-03-20,73
2016-03-21,41
2016-03-22,19
2016-03-23,25
2016-03-24,25
2016-03-25,33
2016-03-26,19
2016-03-27,19
2016-03-28,29
2016-03-29,21
2016-03-30,31
2016-03-31,40
2016-04-01,20
2016-04-02,30
2016-04-03,30
2016-04-04,35
2016-04-05,35
2016-04-06,39
2016-04-07,34
2016-04-08,31
2016-04-09,21
2016-04-10,23
2016-04-11,38
2016-04-12,50
2016-04-13,37
2016-04-14,30
2016-04-15,36
2016-04-16,18
2016-04-17,29
2016-04-18,34
2016-04-19,31
2016-04-20,40
2016-04-21,24
2016-04-22,21
2016-04-23,17
2016-04-24,25
2016-04-25,25
2016-04-26,29
2016-04-27,34
2016-04-28,26
2016-04-29,28
2016-04-30,25
2016-05-01,26
2016-05-02,37
2016-05-03,26
2016-05-04,34
2016-05-05,27
2016-05-06,28
2016-05-07,28
2016-05-08,28
2016-05-09,27
2016-05-10,27
2016-05-11,49
2016-05-12,34
2016-05-13,29
2016-05-14,32
2016-05-15,24
2016-05-16,31
2016-05-17,26
2016-05-18,28
2016-05-19,25
2016-05-20,31
2016-05-21,31
2016-05-22,23
2016-05-23,24
2016-05-24,30
2016-05-25,27
2016-05-26,37
2016-05-27,41
2016-05-28,24
2016-05-29,15
2016-05-30,20
2016-05-31,18
2016-06-01,22
2016-06-02,24
2016-06-03,22
2016-06-04,20
2016-06-05,16
2016-06-06,19
2016-06-07,25
2016-06-08,22
2016-06-09,31
2016-06-10,18
2016-06-11,16
2016-06-12,22
2016-06-13,27
2016-06-14,26
2016-06-15,25
2016-06-16,20
2016-06-17,28
2016-06-18,10
2016-06-19,13
2016-06-20,36
2016-06-21,13
2016-06-22,15
2016-06-23,11
2016-06-24,18
2016-06-25,18
2016-06-26,11
2016-06-27,20
2016-06-28,23
2016-06-29,24
2016-06-30,22
2016-07-01,12
2016-07-02,22
2016-07-03,21
2016-07-04,19
2016-07-05,24
2016-07-06,14
2016-07-07,18
2016-07-08,19
2016-07-09,14
2016-07-10,14
2016-07-11,28
2016-07-12,12
2016-07-13,9
2016-07-14,14
2016-07-15,9
2016-07-16,15
2016-07-17,16
2016-07-18,18
2016-07-19,19
2016-07-20,11
2016-07-21,16
2016-07-22,13
2016-07-23,19
2016-07-24,21
2016-07-25,14
2016-07-26,11
2016-07-27,16
2016-07-28,16
2016-07-29,13
2016-07-30,7
2016-07-31,19
2016-08-01,5
2016-08-02,19
2016-08-03,15
2016-08-04,13
2016-08-05,11
2016-08-06,8
2016-08-07,17
2016-08-08,12
2016-08-09,13
2016-08-10,11
2016-08-11,15
2016-08-12,15
2016-08-13,10
2016-08-14,9
2016-08-15,19
2016-08-16,11
2016-08-17,17
2016-08-18,7
2016-08-19,16
2016-08-20,16
2016-08-21,20
2016-08-22,14
2016-08-23,18
2016-08-24,16
2016-08-25,12
2016-08-26,16
2016-08-27,18
2016-08-28,14
2016-08-29,18
2016-08-30,16
2016-08-31,19
2016-09-01,22
2016-09-02,20
2016-09-03,16
2016-09-04,11
2016-09-05,19
2016-09-06,23
2016-09-07,16
2016-09-08,11
2016-09-09,24
2016-09-10,25
2016-09-11,25
2016-09-12,23
2016-09-13,22
2016-09-14,25
2016-09-15,23
2016-09-16,24
2016-09-17,22
2016-09-18,20
2016-09-19,28
2016-09-20,26
2016-09-21,16
2016-09-22,19
2016-09-23,19
2016-09-24,21
2016-09-25,16
2016-09-26,22
2016-09-27,22
2016-09-28,35
2016-09-29,25
2016-09-30,22
2016-10-01,19
2016-10-02,23
2016-10-03,28
2016-10-04,27
2016-10-05,31
2016-10-06,28
2016-10-07,27
2016-10-08,15
2016-10-09,24
2016-10-10,27
2016-10-11,28
2016-10-12,31
2016-10-13,27
2016-10-14,30
2016-10-15,25
2016-10-16,30
2016-10-17,25
2016-10-18,42
2016-10-19,27
2016-10-20,31
2016-10-21,19
2016-10-22,29
2016-10-23,22
2016-10-24,34
2016-10-25,23
2016-10-26,39
2016-10-27,33
2016-10-28,24
2016-10-29,22
2016-10-30,23
2016-10-31,26
2016-11-01,20
2016-11-02,29
2016-11-03,19
2016-11-04,38
2016-11-05,27
2016-11-06,23
2016-11-07,23
2016-11-08,24
2016-11-09,28
2016-11-10,32
2016-11-11,21
2016-11-12,27
2016-11-13,164
2016-11-14,28
2016-11-15,30
2016-11-16,23
2016-11-17,40
2016-11-18,23
2016-11-19,34
2016-11-20,30
2016-11-21,31
2016-11-22,23
2016-11-23,17
2016-11-24,22
2016-11-25,32
2016-11-26,18
2016-11-27,23
2016-11-28,48
2016-11-29,23
2016-11-30,29
2016-12-01,26
2016-12-02,31
2016-12-03,31
2016-12-04,25
2016-12-05,30
2016-12-06,22
2016-12-07,25
2016-12-08,15
2016-12-09,32
2016-12-10,24
2016-12-11,23
2016-12-12,42
2016-12-13,32
2016-12-14,17
2016-12-15,21
2016-12-16,30
2016-12-17,31
2016-12-18,42
2016-12-19,35
2016-12-20,21
2016-12-21,17
2016-12-22,40
2016-12-23,32
2016-12-24,22
2016-12-25,35
2016-12-26,20
2016-12-27,46
2016-12-28,21
2016-12-29,31
2016-12-30,32
2016-12-31,20
2017-01-01,47
2017-01-02,28
2017-01-03,35
2017-01-04,21
2017-01-05,37
2017-01-06,31
2017-01-07,15
2017-01-08,76
2017-01-09,38
2017-01-10,28
2017-01-11,37
2017-01-12,35
2017-01-13,38
2017-01-14,38
2017-01-15,36
2017-01-16,41
2017-01-17,35
2017-01-18,39
2017-01-19,36
2017-01-20,20
2017-01-21,22
2017-01-22,15
2017-01-23,33
2017-01-24,22
2017-01-25,34
2017-01-26,18
2017-01-27,24
2017-01-28,26
2017-01-29,30
2017-01-30,38
2017-01-31,30
2017-02-01,25
2017-02-02,22
2017-02-03,26
2017-02-04,34
2017-02-05,30
2017-02-06,36
2017-02-07,25
2017-02-08,33
2017-02-09,31
2017-02-10,31
2017-02-11,14
2017-02-12,19
2017-02-13,46
2017-02-14,32
2017-02-15,33
2017-02-16,30
2017-02-17,25
2017-02-18,29
2017-02-19,18
2017-02-20,34
2017-02-21,28
2017-02-22,26
2017-02-23,24
2017-02-24,31
2017-02-25,17
2017-02-26,25
2017-02-27,29
2017-02-28,23
2017-03-01,32
2017-03-02,31
2017-03-03,21
2017-03-04,32
2017-03-05,24
2017-03-06,30
2017-03-07,27
2017-03-08,19
2017-03-09,13
2017-03-10,18
2017-03-11,23
2017-03-12,15
2017-03-13,23
2017-03-14,28
2017-03-15,20
2017-03-16,28
2017-03-17,39
2017-03-18,14
2017-03-19,15
2017-03-20,29
2017-03-21,28
2017-03-22,19
2017-03-23,24
2017-03-24,26
2017-03-25,15
2017-03-26,27
2017-03-27,14
2017-03-28,26
2017-03-29,23
2017-03-30,23
2017-03-31,16
2017-04-01,20
2017-04-02,11
2017-04-03,23
2017-04-04,32
2017-04-05,19
2017-04-06,29
2017-04-07,20
2017-04-08,21
2017-04-09,6
2017-04-10,18
2017-04-11,26
2017-04-12,17
2017-04-13,13
2017-04-14,11
2017-04-15,14
2017-04-16,16
2017-04-17,18
2017-04-18,17
2017-04-19,16
2017-04-20,22
2017-04-21,14
2017-04-22,12
2017-04-23,13
2017-04-24,20
2017-04-25,12
2017-04-26,13
2017-04-27,28
2017-04-28,15
2017-04-29,21
2017-04-30,13
2017-05-01,14
2017-05-02,21
2017-05-03,23
2017-05-04,8
2017-05-05,19
2017-05-06,19
2017-05-07,18
2017-05-08,12
2017-05-09,28
2017-05-10,15
2017-05-11,11
2017-05-12,15
2017-05-13,14
2017-05-14,18
2017-05-15,20
2017-05-16,19
2017-05-17,19
2017-05-18,13
2017-05-19,18
2017-05-20,16
2017-05-21,24
2017-05-22,19
2017-05-23,18
2017-05-24,15
2017-05-25,23
2017-05-26,18
2017-05-27,20
2017-05-28,21
2017-05-29,16
2017-05-30,25
2017-05-31,13
2017-06-01,11
2017-06-02,13
2017-06-03,11
2017-06-04,26
2017-06-05,16
2017-06-06,22
2017-06-07,8
2017-06-08,11
2017-06-09,10
2017-06-10,13
2017-06-11,8
2017-06-12,21
2017-06-13,14
2017-06-14,16
2017-06-15,15
2017-06-16,12
2017-06-17,6
2017-06-18,13
2017-06-19,18
2017-06-20,22
2017-06-21,14
2017-06-22,9
2017-06-23,12
2017-06-24,24
2017-06-25,13
2017-06-26,10
2017-06-27,10
2017-06-28,19
2017-06-29,13
2017-06-30,13
2017-07-01,6
2017-07-02,15
2017-07-03,10
2017-07-04,13
2017-07-05,7
2017-07-06,18
2017-07-07,19
2017-07-08,15
2017-07-09,15
2017-07-10,17
2017-07-11,19
2017-07-12,19
2017-07-13,9
2017-07-14,5
2017-07-15,5
2017-07-16,16
2017-07-17,16
2017-07-18,14
2017-07-19,12
2017-07-20,16
2017-07-21,11
2017-07-22,8
2017-07-23,11
2017-07-24,11
2017-07-25,10
2017-07-26,12
2017-07-27,7
2017-07-28,18
2017-07-29,11
2017-07-30,7
2017-07-31,10
2017-08-01,8
2017-08-02,11
2017-08-03,11
2017-08-04,15
2017-08-05,8
2017-08-06,13
2017-08-07,8
2017-08-08,10
2017-08-09,14
2017-08-10,16
2017-08-11,8
2017-08-12,7
2017-08-13,8
2017-08-14,9
2017-08-15,11
2017-08-16,16
2017-08-17,11
2017-08-18,8
2017-08-19,16
2017-08-20,6
2017-08-21,18
2017-08-22,13
2017-08-23,6
2017-08-24,11
2017-08-25,5
2017-08-26,8
2017-08-27,20
2017-08-28,24
2017-08-29,9
2017-08-30,18
2017-08-31,9
2017-09-01,13
2017-09-02,21
2017-09-03,22
2017-09-04,8
2017-09-05,14
2017-09-06,10
2017-09-07,11
2017-09-08,13
2017-09-09,9
2017-09-10,9
2017-09-11,11
2017-09-12,6
2017-09-13,12
2017-09-14,19
2017-09-15,13
2017-09-16,20
2017-09-17,15
2017-09-18,21
2017-09-19,23
2017-09-20,13
2017-09-21,12
2017-09-22,11
2017-09-23,18
2017-09-24,23
2017-09-25,19
2017-09-26,21
2017-09-27,25
2017-09-28,13
2017-09-29,20
2017-09-30,25
2017-10-01,13
2017-10-02,24
2017-10-03,16
2017-10-04,15
2017-10-05,14
2017-10-06,13
2017-10-07,6
2017-10-08,12
2017-10-09,13
2017-10-10,13
2017-10-11,16
2017-10-12,17
2017-10-13,30
2017-10-14,18
2017-10-15,10
2017-10-16,19
2017-10-17,24
2017-10-18,30
2017-10-19,21
2017-10-20,15
2017-10-21,13
2017-10-22,19
2017-10-23,23
2017-10-24,24
2017-10-25,22
2017-10-26,17
2017-10-27,16
2017-10-28,12
2017-10-29,10
2017-10-30,26
2017-10-31,19
2017-11-01,16
2017-11-02,15
2017-11-03,20
2017-11-04,22
2017-11-05,20
2017-11-06,17
2017-11-07,21
2017-11-08,35
2017-11-09,23
2017-11-10,24
2017-11-11,15
2017-11-12,19
2017-11-13,22
2017-11-14,20
2017-11-15,19
2017-11-16,26
2017-11-17,35
2017-11-18,14
2017-11-19,20
2017-11-20,19
2017-11-21,18
2017-11-22,17
2017-11-23,31
2017-11-24,20
2017-11-25,19
2017-11-26,17
2017-11-27,18
2017-11-28,20
2017-11-29,18
2017-11-30,17
2017-12-01,19
2017-12-02,11
2017-12-03,9
2017-12-04,14
2017-12-05,18
2017-12-06,31
2017-12-07,19
2017-12-08,14
2017-12-09,21
2017-12-10,17
2017-12-11,25
2017-12-12,18
2017-12-13,28
2017-12-14,21
2017-12-15,9
2017-12-16,16
2017-12-17,20
2017-12-18,16
2017-12-19,8
2017-12-20,15
2017-12-21,19
2017-12-22,31
2017-12-23,24
2017-12-24,20
2017-12-25,16
2017-12-26,22
2017-12-27,13
2017-12-28,13
2017-12-29,16
2017-12-30,27
2017-12-31,15
2018-01-01,14
2018-01-02,23
2018-01-03,17
2018-01-04,15
2018-01-05,17
2018-01-06,13
2018-01-07,14
2018-01-08,20
2018-01-09,26
2018-01-10,33
2018-01-11,20
2018-01-12,19
2018-01-13,15
2018-01-14,21
2018-01-15,12
2018-01-16,17
2018-01-17,21
2018-01-18,15
2018-01-19,18
2018-01-20,11
2018-01-21,18
2018-01-22,21
2018-01-23,16
2018-01-24,14
2018-01-25,11
2018-01-26,17
2018-01-27,12
2018-01-28,17
2018-01-29,18
2018-01-30,10
2018-01-31,21
2018-02-01,21
2018-02-02,20
2018-02-03,16
2018-02-04,15
2018-02-05,24
2018-02-06,14
2018-02-07,26
2018-02-08,20
2018-02-09,16
2018-02-10,13
2018-02-11,11
2018-02-12,27
2018-02-13,16
2018-02-14,17
2018-02-15,13
2018-02-16,18
2018-02-17,12
2018-02-18,19
2018-02-19,16
2018-02-20,12
2018-02-21,13
2018-02-22,14
2018-02-23,14
2018-02-24,26
2018-02-25,11
2018-02-26,14
2018-02-27,17
2018-02-28,15
2018-03-01,13
2018-03-02,14
2018-03-03,13
2018-03-04,15
2018-03-05,14
2018-03-06,14
2018-03-07,16
2018-03-08,14
2018-03-09,12
2018-03-10,14
2018-03-11,13
2018-03-12,20
2018-03-13,21
2018-03-14,28
2018-03-15,19
2018-03-16,17
2018-03-17,19
2018-03-18,19
2018-03-19,7
2018-03-20,12
2018-03-21,12
2018-03-22,15
2018-03-23,11
2018-03-24,12
2018-03-25,11
2018-03-26,15
2018-03-27,20
2018-03-28,11
2018-03-29,15
2018-03-30,11
2018-03-31,18
2018-04-01,20
2018-04-02,12
2018-04-03,14
2018-04-04,17
2018-04-05,19
2018-04-06,18
2018-04-07,12
2018-04-08,12
2018-04-09,24
2018-04-10,18
2018-04-11,24
2018-04-12,17
2018-04-13,22
2018-04-14,18
2018-04-15,9
2018-04-16,25
2018-04-17,21
2018-04-18,21
2018-04-19,17
2018-04-20,15
2018-04-21,23
2018-04-22,12
2018-04-23,27
2018-04-24,17
2018-04-25,17
2018-04-26,31
2018-04-27,6
2018-04-28,10
2018-04-29,17
2018-04-30,14
2018-05-01,11
2018-05-02,14
2018-05-03,33
2018-05-04,17
2018-05-05,21
2018-05-06,19
2018-05-07,23
2018-05-08,10
2018-05-09,20
2018-05-10,15
2018-05-11,20
2018-05-12,12
2018-05-13,13
2018-05-14,18
2018-05-15,26
2018-05-16,20
2018-05-17,23
2018-05-18,18
2018-05-19,12
2018-05-20,17
2018-05-21,16
2018-05-22,20
2018-05-23,20
2018-05-24,21
2018-05-25,18
2018-05-26,15
2018-05-27,16
2018-05-28,26
2018-05-29,11
2018-05-30,21
2018-05-31,109
2018-06-01,26
2018-06-02,20
2018-06-03,18
2018-06-04,18
2018-06-05,19
2018-06-06,24
2018-06-07,16
2018-06-08,19
2018-06-09,16
2018-06-10,8
2018-06-11,9
2018-06-12,12
2018-06-13,24
2018-06-14,10
2018-06-15,12
2018-06-16,17
2018-06-17,16
2018-06-18,21
2018-06-19,26
2018-06-20,14
2018-06-21,24
2018-06-22,17
2018-06-23,9
2018-06-24,16
2018-06-25,15
2018-06-26,20
2018-06-27,16
2018-06-28,14
2018-06-29,13
2018-06-30,12
2018-07-01,16
2018-07-02,13
2018-07-03,7
2018-07-04,12
2018-07-05,6
2018-07-06,17
2018-07-07,14
2018-07-08,10
2018-07-09,16
2018-07-10,9
2018-07-11,17
2018-07-12,13
2018-07-13,21
2018-07-14,23
2018-07-15,17
2018-07-16,23
2018-07-17,16
2018-07-18,21
2018-07-19,19
2018-07-20,12
2018-07-21,8
2018-07-22,14
2018-07-23,9
2018-07-24,13
2018-07-25,11
2018-07-26,9
2018-07-27,13
2018-07-28,12
2018-07-29,19
2018-07-30,14
2018-07-31,12
2018-08-01,18
2018-08-02,8
2018-08-03,16
2018-08-04,12
2018-08-05,13
2018-08-06,11
2018-08-07,10
2018-08-08,7
2018-08-09,13
2018-08-10,13
2018-08-11,15
2018-08-12,10
2018-08-13,10
2018-08-14,7
2018-08-15,10
2018-08-16,5
2018-08-17,8
2018-08-18,8
2018-08-19,8
2018-08-20,10
2018-08-21,9
2018-08-22,14
2018-08-23,12
2018-08-24,9
2018-08-25,8
2018-08-26,3
2018-08-27,13
2018-08-28,8
2018-08-29,14
2018-08-30,12
2018-08-31,14
2018-09-01,14
2018-09-02,16
2018-09-03,23
2018-09-04,9
2018-09-05,19
2018-09-06,17
2018-09-07,8
2018-09-08,23
2018-09-09,19
2018-09-10,17
2018-09-11,16
2018-09-12,15
2018-09-13,12
2018-09-14,19
2018-09-15,12
2018-09-16,13
2018-09-17,20
2018-09-18,17
2018-09-19,12
2018-09-20,10
2018-09-21,14
2018-09-22,17
2018-09-23,19
2018-09-24,41
2018-09-25,20
2018-09-26,18
2018-09-27,32
2018-09-28,17
2018-09-29,20
2018-09-30,21
2018-10-01,26
2018-10-02,16
2018-10-03,11
2018-10-04,20
2018-10-05,43
2018-10-06,27
2018-10-07,24
2018-10-08,25
2018-10-09,16
2018-10-10,17
2018-10-11,21
2018-10-12,20
2018-10-13,28
2018-10-14,23
2018-10-15,27
2018-10-16,21
2018-10-17,15
2018-10-18,29
2018-10-19,28
2018-10-20,26
2018-10-21,22
2018-10-22,21
2018-10-23,28
2018-10-24,17
2018-10-25,24
2018-10-26,24
2018-10-27,20
2018-10-28,28
2018-10-29,18
2018-10-30,17
2018-10-31,17
2018-11-01,50
2018-11-02,30
2018-11-03,17
2018-11-04,30
2018-11-05,28
2018-11-06,23
2018-11-07,26
2018-11-08,27
2018-11-09,33
2018-11-10,20
2018-11-11,21
2018-11-12,23
2018-11-13,31
2018-11-14,23
2018-11-15,22
2018-11-16,35
2018-11-17,30
2018-11-18,35
2018-11-19,32
2018-11-20,43
2018-11-21,30
2018-11-22,25
2018-11-23,18
2018-11-24,15
2018-11-25,16
2018-11-26,25
2018-11-27,21
2018-11-28,21
2018-11-29,20
2018-11-30,18
2018-12-01,13
2018-12-02,23
2018-12-03,13
2018-12-04,10
2018-12-05,21
2018-12-06,16
2018-12-07,14
2018-12-08,13
2018-12-09,10
